,dev-0-train-loss,dev-1-train-loss,dev-2-train-loss,dev-3-train-loss,dev-4-train-loss,edge-train-loss,dev-0-train-accuracy,dev-1-train-accuracy,dev-2-train-accuracy,dev-3-train-accuracy,dev-4-train-accuracy,edge-train-accuracy,dev-0-test-loss,dev-1-test-loss,dev-2-test-loss,dev-3-test-loss,dev-4-test-loss,edge-test-loss,dev-0-test-accuracy,dev-1-test-accuracy,dev-2-test-accuracy,dev-3-test-accuracy,dev-4-test-accuracy,edge-test-accuracy
0,1.5350269866361568,1.5405983222419302,1.536888717572032,1.5441800386901539,1.5493008565654787,2.3769383157766466,0.5642331022530329,0.561525129982669,0.5603336221837089,0.5571923743500866,0.5566507798960139,0.28292894280762565,0.8986947573656846,0.904287883685821,0.9047482389717829,0.90882574706185,0.9124762206185009,2.349098245233969,0.7253032928942807,0.7240034662045061,0.7214038128249567,0.7253032928942807,0.720103986135182,0.41854419410745236
1,1.106709551356694,1.104087895702448,1.10605953223164,1.1062769104744368,1.108570964952069,1.8099843360728987,0.6610701906412478,0.6617201039861352,0.6643197573656846,0.6635615251299827,0.6602036395147314,0.422551993067591,0.8543792671719291,0.8593975311755307,0.8576678667779192,0.8576962158626246,0.8579615654110702,1.8082933343262566,0.7400346620450606,0.7383015597920277,0.74263431542461,0.7413344887348353,0.7404679376083189,0.5662911611785095
2,1.0521836834515814,1.0521899244814232,1.0544946627559033,1.05175051366849,1.053419830480936,1.5943961052588822,0.674501733102253,0.6722270363951474,0.6724436741767764,0.6749350086655113,0.6742850953206239,0.50736568457539,0.8195409394632799,0.819460758096837,0.8217231314145094,0.8175622156629117,0.8208875209867851,2.281002897530329,0.7512998266897747,0.7508665511265165,0.7512998266897747,0.7564991334488734,0.7517331022530329,0.6126516464471404
3,1.0186808832390057,1.0194297010398614,1.0186104336479094,1.017794762781629,1.0191007247210788,2.0070303614465987,0.6832755632582322,0.6806759098786829,0.6820840554592721,0.6844670710571924,0.6823006932409013,0.3938474870017331,0.8214552431420602,0.8204273243710735,0.8254215762768089,0.8228363618900293,0.824594481152513,1.6833397718194865,0.7491334488734835,0.7538994800693241,0.7487001733102253,0.7495667244367418,0.7482668977469671,0.47227036395147315
4,0.9805511527499459,0.9790189270336872,0.9803471028081673,0.9789176954140489,0.9791187835111569,1.7345648753994258,0.6915077989601387,0.6913994800693241,0.6915077989601387,0.6915077989601387,0.6918327556325823,0.4643630849220104,0.8196994510432463,0.8212257530701635,0.8232459426959218,0.818739020018685,0.820458053509532,5.728089119367418,0.7543327556325823,0.7525996533795494,0.7564991334488734,0.7547660311958405,0.7534662045060658,0.5519930675909879
5,0.9339486424596513,0.9338743847825498,0.933542235058763,0.9340773769226604,0.9352559795412695,1.4947272818051343,0.708080589254766,0.7076473136915078,0.7082972270363952,0.707863951473137,0.708080589254766,0.5255632582322357,0.7907750280105882,0.7917967057517331,0.7941446552243555,0.7922299813149913,0.7928521802561742,2.914290985160312,0.7616984402079723,0.762998266897747,0.762998266897747,0.7634315424610052,0.7603986135181976,0.6169844020797227
6,0.9249768976115684,0.9246278230610918,0.9241292811349112,0.9231851931461221,0.9245010984212522,1.4097092230150563,0.711763431542461,0.7116551126516465,0.7114384748700173,0.713713171577123,0.7110051993067591,0.5506932409012132,0.7882069500108319,0.7888716196889893,0.7908546275861135,0.7889999310313313,0.7905215787309088,5.272154598136915,0.7642980935875217,0.7660311958405546,0.7681975736568457,0.7694974003466204,0.7638648180242634,0.6260831889081456
7,0.9317557138214905,0.9320902964891139,0.9312881654841855,0.931724614452448,0.932518071483698,1.3859428524764406,0.7037478336221837,0.7073223570190641,0.7062391681109186,0.705155979202773,0.7053726169844021,0.5543760831889082,0.7905667997522206,0.7910346125399426,0.7932675260811579,0.7909770152391139,0.7924187460226657,2.1403738778839903,0.7590987868284229,0.7660311958405546,0.7647313691507799,0.7651646447140381,0.7625649913344887,0.6347487001733102
8,0.9118741199090121,0.9113055515124026,0.9131242299203857,0.9121016530478228,0.9119594845036287,1.3376096728769498,0.7103552859618717,0.7091637781629117,0.7099220103986135,0.7095970537261699,0.7110051993067591,0.566182842287695,0.7856824534398018,0.7862326689774697,0.7880462699374459,0.7860425820177102,0.7871025521792406,1.258196693565858,0.7621317157712305,0.7608318890814558,0.7638648180242634,0.7647313691507799,0.761265164644714,0.6408145580589255
9,0.923116964938529,0.9221098319703206,0.924143349897097,0.9217740857208622,0.9239352803089796,1.3102125038927102,0.7082972270363952,0.7115467937608319,0.71078856152513,0.7098136915077989,0.7116551126516465,0.5824306759098787,0.7857284678123646,0.7866173385540782,0.7884319444256391,0.7863866320102633,0.7872009806244584,1.8724060587494584,0.7586655112651647,0.7582322357019065,0.7651646447140381,0.7638648180242634,0.7608318890814558,0.6581455805892548
