,branch-0-train-loss,branch-1-train-loss,branch-2-train-loss,branch-3-train-loss,branch-0-train-accuracy,branch-1-train-accuracy,branch-2-train-accuracy,branch-3-train-accuracy,branch-0-test-loss,branch-1-test-loss,branch-2-test-loss,branch-3-test-loss,branch-0-test-accuracy,branch-1-test-accuracy,branch-2-test-accuracy,branch-3-test-accuracy
0,2.7510423577637564,2.7210018481910745,2.5840637101251085,1.4198221243026972,0.1386481802426343,0.14655545927209707,0.20363951473136915,0.5900129982668978,2.6596313688122835,2.5719609781195842,2.255053118568566,0.8213233881641302,0.16031195840554593,0.21707105719237435,0.32322357019064124,0.7603986135181976
1,2.6684836878520364,2.5843323917488084,2.2581150312770797,1.131488238091692,0.16767764298093588,0.20385615251299827,0.348028596187175,0.6564124783362218,2.5865013082891033,2.4400949990522096,1.9617469298364385,0.7687295421157387,0.23353552859618718,0.29506065857885616,0.44020797227036396,0.774263431542461
2,2.6186935980150565,2.4968113626516466,2.0660599257338603,1.1072647914522855,0.18533362218370883,0.2218370883882149,0.40489601386481805,0.6665944540727903,2.5296963009098787,2.343786388377383,1.7818053458757583,0.804339800591692,0.231369150779896,0.2889948006932409,0.464471403812825,0.7651646447140381
3,2.5811137128330808,2.4372791310116986,1.939487820894714,1.0927150468479203,0.18999133448873484,0.24100953206239167,0.4390164644714038,0.6689774696707106,2.500487646568999,2.2912811332186958,1.6721441047443675,0.79760012304349,0.24133448873483535,0.29332755632582325,0.5064991334488734,0.774263431542461
4,2.5561728651023614,2.391618910447357,1.8465595212305026,1.0952381153866984,0.20147313691507798,0.2505415944540728,0.47010398613518195,0.6734185441941074,2.467192069703206,2.2400376238897315,1.5858106695799934,0.8696748148423961,0.2448006932409012,0.30589254766031193,0.5268630849220104,0.7603986135181976
5,2.5357949506472055,2.3557708581564123,1.7767346677995017,1.0988962051153597,0.20363951473136915,0.2550909878682842,0.4816941074523397,0.6695190641247833,2.4394920521013863,2.1951969880578424,1.5197012387280655,0.8339689310956456,0.2603986135181976,0.3141247833622184,0.5454939341421143,0.7642980935875217
6,2.5185889602740468,2.3280211238761916,1.7205146247427425,1.1008164324834813,0.2102469670710572,0.26094020797227035,0.5030329289428076,0.6719020797227037,2.417211575565966,2.162761615508557,1.4564687110728987,0.7756073685617959,0.24220103986135183,0.32062391681109187,0.5628249566724437,0.774263431542461
7,2.498224374119909,2.2969325444107453,1.6672295581943242,1.0724590969250976,0.21826256499133448,0.2716637781629116,0.5173310225303293,0.6736351819757366,2.405842746357777,2.1479088107262783,1.4305774285433817,0.8293172482601279,0.2608318890814558,0.322790294627383,0.5779896013864818,0.7599653379549394
8,2.493374141911287,2.2828163927101386,1.6249190781723895,1.0684876863423418,0.211763431542461,0.27155545927209707,0.5319540727902946,0.6798093587521664,2.3851802832538995,2.123703135154896,1.3865835629468155,0.7874788651226712,0.26819757365684577,0.33232235701906415,0.5870883882149047,0.7699306759098787
9,2.4747445620531847,2.257328026836005,1.589439987103282,1.0460604927155546,0.22075389948006932,0.28650346620450606,0.5343370883882149,0.6802426343154246,2.3631177138621102,2.0928576385127817,1.3524430141085355,0.8535554512328044,0.26949740034662045,0.33708838821490467,0.6022530329289428,0.7603986135181976
